subj_num,model,theta,loglik,bic,delta_bic
1,pea,[9.34023228 0.36206566 1.29827665],-2650.9463567428393,5323.229695819811,-209.50343958576104
1,premo,"[8.43862233e-01 1.67663819e+01 1.00000000e-02 2.50000000e+01
 1.00000000e+00 1.04348793e+00]",-2745.0295853686534,5532.733135405572,0.0
1,rem,[14.2432723   3.81197959  9.99980445  1.29836274],-2650.973430033828,5330.3961698465,-202.33696555907227
1,piece,[5.95716432 0.01       1.01037002],-2526.2041563168605,5073.745294967854,-458.98784043771866
2,pea,[3.76251428 0.49892211 0.89640008],-2854.6312635205095,5730.599509375152,-186.28199170451262
2,premo,"[3.54154481e-01 2.50000000e+01 1.00000000e-02 2.50000000e+01
 1.00000000e+00 7.03281027e-01]",-2937.1037682056995,5916.881501079664,0.0
2,rem,[6.93239988 4.13364827 9.61864136 0.89710749],-2854.7311702187017,5737.911650216247,-178.96985086341738
2,piece,[5.99807037 0.01       0.719489  ],-2733.568694636735,5488.474371607603,-428.40712947206157
3,pea,[2.91774081 0.20210902 2.05547517],-2590.6060290298833,5202.549040393899,-36.108228752473224
3,premo,[0.99929515 0.08152987 0.15624002 0.31144901 1.         1.95248278],-2597.9916522390536,5238.6572691463725,0.0
3,rem,[1.93895181e+00 1.32584911e-01 6.69298420e-04 2.07165324e+00],-2586.5108095662563,5201.470928911356,-37.18634023501636
3,piece,[3.60770892 1.40326387 1.83836669],-2524.126954078285,5069.590890490703,-169.06637865566972
4,pea,[5.5629293  0.25006055 0.21482762],-2433.3698416399875,4888.076665614108,-93.13636601741655
4,premo,[0.04866484 4.81026497 7.717628   7.97887722 1.         0.18676259],-2469.2695334816294,4981.213031631524,0.0
4,rem,[1.99358714 0.24053175 0.00752852 0.21248535],-2432.416696809701,4893.282703398246,-87.93032823327849
4,piece,[4.52852658 0.05377581 0.18342366],-2362.592258507463,4746.521499349059,-234.69153228246523
5,pea,[18.08933352  0.18945297  0.62384742],-2615.0908196368378,5251.518621607808,-98.02767444240908
5,premo,[0.17991324 5.78678117 7.77211999 7.77212554 1.         0.52951598],-2653.436165690976,5349.546296050217,0.0
5,rem,[19.20619394  1.10964039  4.85732188  0.62373551],-2615.080707057348,5258.610723893539,-90.93557215667806
5,piece,[4.95486831 0.39340687 0.50659042],-2525.1112610802284,5071.559504494589,-277.98679155562786
6,pea,[14.93817902  0.26092671  0.51456634],-2763.210962880832,5547.758908095797,-215.5679042227748
6,premo,[0.13143646 0.19889016 0.01       0.08398955 1.         0.39132863],-2860.326423825153,5763.326812318572,0.0
6,rem,[18.60884133  0.89355576  2.4755511   0.51455522],-2763.2096028426413,5554.868515464126,-208.4582968544455
6,piece,[5.91331328 0.01       0.4119871 ],-2606.7796300087957,5234.896242351724,-528.4305699668475
7,pea,[10.37918027  0.25506499  0.61233839],-2830.901676421373,5683.140335176879,-142.98077960039154
7,premo,[0.98841824 0.01692814 0.01351096 0.05152085 1.         0.48631393],-2891.7235750545024,5826.12111477727,0.0
7,rem,[11.45876897  0.89848375  2.56072885  0.61190782],-2830.7761684602674,5690.001646699378,-136.11946807789172
7,piece,[5.79672856 0.55380508 0.49126064],-2712.1936451056167,5445.724272545366,-380.396842231904
8,pea,[5.95711576 0.38806603 1.8266131 ],-2496.178424233227,5013.6938308005865,-145.06616091080468
8,premo,[ 0.59286335 25.         25.         25.          1.          1.59386979],-2558.043013521563,5158.759991711391,0.0
8,rem,[ 9.80807287  3.83191857 10.          1.82690258],-2496.2881260614295,5021.0255619017025,-137.73442980968866
8,piece,[5.26833472 0.05465648 1.42696761],-2412.2887122461434,4845.9144068264195,-312.8455848849717
9,pea,[2.04213838 0.47477029 2.03517047],-3360.7839786342283,6742.904939602589,-66.59006765530285
9,premo,[ 0.10179948  8.01602099 10.79868263  9.23970515  1.          1.86307922],-3383.4105212948134,6809.495007257892,0.0
9,rem,[2.93407396 0.20814343 0.03072676 2.04555579],-3356.662710967188,6741.77473171322,-67.7202755446724
9,piece,[5.71430909 0.01549951 1.77810237],-3208.8068162290638,6438.95061479226,-370.544392465632
10,pea,[17.03060754  0.2179453   0.86934051],-2698.615931360387,5418.568845054907,-88.56139091587374
10,premo,[0.11951766 0.84962288 1.25709712 0.47624469 1.         0.73594926],-2732.2281356512576,5507.130235970781,0.0
10,rem,[24.84182431  2.21945076  9.32096466  0.86914987],-2698.6167855461354,5425.682880871114,-81.44735509966631
10,piece,[5.65714949 0.05683875 0.70467085],-2613.7900576351576,5248.917097604448,-258.2131383663327
11,pea,[9.30578269 0.31152019 1.69823719],-2856.1352720370382,5733.607526408209,-175.8766541390023
11,premo,[0.27211169 0.07892484 0.1648455  0.04235164 1.         1.46302144],-2933.405107939473,5909.4841805472115,0.0
11,rem,[13.37338383  1.58023214  4.29433015  1.69838533],-2856.1212348773142,5740.691779533472,-168.79240101373944
11,piece,[6.10659727 0.06063287 1.34433889],-2702.305538164111,5425.948058662355,-483.5361218848566
12,pea,[10.44870619  0.30289139  0.40937879],-2315.8751744219107,4653.087331177954,-292.4233593284089
12,premo,"[2.91154660e-01 2.50000000e+01 1.00000000e-02 2.50000000e+01
 1.00000000e+00 3.04728595e-01]",-2451.418362919049,4945.510690506363,0.0
12,rem,[11.07496133  2.92239096  8.66874522  0.40919045],-2315.7027488079398,4659.854807394723,-285.6558831116399
12,piece,[4.93053322 0.01       0.33431048],-2191.6243311966646,4404.585644727462,-540.9250457789012
13,pea,[25.          0.12690341  1.31452662],-2608.4584855647936,5238.25395346372,-57.06526157200915
13,premo,[ 0.45307955  8.40181116  9.23124    23.25025786  1.          1.2095359 ],-2626.322625183732,5295.319215035729,0.0
13,rem,[25.          1.20867436  8.49585941  1.3146316 ],-2608.457491474136,5245.364292727116,-49.95492230861328
13,piece,[4.19651317 0.01       1.14465272],-2467.2239195141988,4955.78482136253,-339.5343936731988
14,pea,[ 7.5796126   0.23686905 -0.78813466],-3016.9014388963747,6055.139860126882,-53.63278369715863
14,premo,[ 0.71973161  0.07347753  0.01        0.21819447  1.         -0.80214635],-3033.0493395778876,6108.772643824041,0.0
14,rem,[16.30803086  2.30637307  9.99535127 -0.78823782],-3016.968404409309,6062.386118597462,-46.38652522657867
14,piece,[ 6.33743174  0.01       -0.67215321],-2966.2655439671034,5953.86807026834,-154.90457355570106
15,pea,[3.27473275e+00 3.75577748e-01 2.66536476e-03],-2910.652072169731,5842.641126673595,-75.05057073579246
15,premo,[ 0.63368254  0.07253899  0.01        0.21243799  1.         -0.05794075],-2937.508866370561,5917.691697409387,0.0
15,rem,[5.95588161e+00 1.99940764e+00 6.09015753e+00 5.09873513e-03],-2910.5187763006734,5849.48686238019,-68.20483502919706
15,piece,[ 5.68379772  0.01       -0.00917741],-2840.977019158211,5703.291020650555,-214.40067675883256
16,pea,[4.7871268  0.20893975 0.17375151],-2706.2252082277687,5433.78739878967,-51.680445796462664
16,premo,[0.9260246  1.24196536 7.17215413 5.54748381 1.         0.12763558],-2721.3969399589337,5485.467844586133,0.0
16,rem,[6.3403679  1.10070837 4.69398886 0.17342872],-2706.0233348400816,5440.495979459007,-44.971865127125966
16,piece,[4.07872951 1.02456771 0.14417792],-2664.404608781778,5350.146199897688,-135.3216446884444
